title,text,link,source
US drone strike ordered by Trump kills top Iranian commander in Baghdad,"The commander of Iran's Quds Froce has been killed in a United States strike ordered by President Donald Trump and aimed at ""deterring future Iranian attack ...",CNN,https://www.news.google.com/./articles/CAIiEESLl6atXR9NfpRt7oQ4kD0qGQgEKhAIACoHCAowocv1CjCSptoCMPrTpgU?hl=en-PK&gl=PK&ceid=PK%3Aen
Iraqi leader faces tricky balancing act as main allies confront one another,Iraqi Prime Minister Adel Abdul Mahdi on Wednesday urged Washington and Tehran to show restraint following Iranian missile attacks on U.S. troops in Iraq as ...,Reuters,https://www.news.google.com/./articles/CBMif2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvdXMtaXJhcS1zZWN1cml0eS1nb3Zlcm5tZW50L2lyYXFpLXBtLXJlY2VpdmVkLXdvcmQtZnJvbS1pcmFuLWFib3V0LW1pc3NpbGUtYXR0YWNrLWlkVVNLQk4xWjcxRljSATRodHRwczovL21vYmlsZS5yZXV0ZXJzLmNvbS9hcnRpY2xlL2FtcC9pZFVTS0JOMVo3MUZY?hl=en-PK&gl=PK&ceid=PK%3Aen
Iran supreme leader calls strike a 'slap' at US,Iranian Supreme Leader Ayatollah Ali Khamenei in an address to the nation on Jan. 8 says “we slapped them (Americans) on the face last night” with a missile ...,Hurriyet Daily News,https://www.news.google.com/./articles/CBMiVWh0dHA6Ly93d3cuaHVycml5ZXRkYWlseW5ld3MuY29tL2lyYW4tc3VwcmVtZS1sZWFkZXItY2FsbHMtc3RyaWtlLWEtc2xhcC1hdC11cy0xNTA3MjDSAVlodHRwOi8vd3d3Lmh1cnJpeWV0ZGFpbHluZXdzLmNvbS9hbXAvaXJhbi1zdXByZW1lLWxlYWRlci1jYWxscy1zdHJpa2UtYS1zbGFwLWF0LXVzLTE1MDcyMA?hl=en-PK&gl=PK&ceid=PK%3Aen
Iran Fires Missiles at 2 Iraqi Air Bases Housing US Forces,"Iran fired more than dozen ballistic missiles early Wednesday targeting two Iraqi air bases that house U.S. troops, a move that came after Iranian leaders ...",VOA News,https://www.news.google.com/./articles/CAIiEIbS6zWgg19RXfdAEJFgexAqGAgEKg8IACoHCAowqc_1ATCe_xQwo5u1Bg?hl=en-PK&gl=PK&ceid=PK%3Aen
"Iran’s Military Response May Be ‘Concluded,’ but Cyberwarfare Threat Grows","Cybersecurity experts are seeing malicious activity from pro-Iranian forces, and warning that Iran has the capacity to do real damage to American computer ...",The New York Times,https://www.news.google.com/./articles/CAIiEP7UyluVnMYjprZUmJW3jqAqFwgEKg8IACoHCAowjuuKAzCWrzwwt4QY?hl=en-PK&gl=PK&ceid=PK%3Aen
Rock-throwing Iran-backed militias quit US embassy in Iraq after protests,"Supporters of Iran-backed Iraqi paramilitary groups began to withdraw from the U.S. embassy in Baghdad on Wednesday, a day after they stormed the outer ...",CNBC,https://www.news.google.com/./articles/CAIiED5E5E5t7QHoKI0RFaoHe00qGQgEKhAIACoHCAow2Nb3CjDivdcCMP3ungY?hl=en-PK&gl=PK&ceid=PK%3Aen
"Putin, Erdogan Call for De-Escalation After Iran Missile Attack","Hours after Iran fired missiles at U.S. soldiers in Iraqi military bases, Russian President Vladimir Putin and Turkish President Recep Tayyip Erdogan called for a ...",The Epoch Times,https://www.news.google.com/./articles/CAIiELjPi6_EP0cJtC3DdC21Go8qFwgEKg8IACoHCAow5uLNATDi2ycw0vxO?hl=en-PK&gl=PK&ceid=PK%3Aen
Iranian leaders give mixed signals on demands following missile attacks on bases housing US forces | TheHill,Iran's president and foreign minister are putting out mixed messages over whether Tehran is looking to escalate tensions with the U.S. following Iranian strikes ...,The Hill,https://www.news.google.com/./articles/CBMid2h0dHBzOi8vdGhlaGlsbC5jb20vcG9saWN5L2ludGVybmF0aW9uYWwvNDc3Mjc5LWlyYW5pYW4tbGVhZGVycy1naXZlLW1peGVkLXNpZ25hbHMtb24tZGVtYW5kcy1mb2xsb3dpbmctbWlzc2lsZS1hdHRhY2tz0gF7aHR0cHM6Ly90aGVoaWxsLmNvbS9wb2xpY3kvaW50ZXJuYXRpb25hbC80NzcyNzktaXJhbmlhbi1sZWFkZXJzLWdpdmUtbWl4ZWQtc2lnbmFscy1vbi1kZW1hbmRzLWZvbGxvd2luZy1taXNzaWxlLWF0dGFja3M_YW1w?hl=en-PK&gl=PK&ceid=PK%3Aen
Iran-US attack in Iraq: Guterres pledges 'active engagement' in further de-escalation efforts,"In the wake of an Iranian ballistic missile attack on air bases which house US forces in Iraq, the UN Secretary-General said on Wednesday that he would ...",UN News,https://www.news.google.com/./articles/CBMiLGh0dHBzOi8vbmV3cy51bi5vcmcvZW4vc3RvcnkvMjAyMC8wMS8xMDU0OTYx0gEA?hl=en-PK&gl=PK&ceid=PK%3Aen
'I'll call him back': Pelosi puts House business first as Pence calls about Iranian ballistic missile attack on Iraqi bases,House Speaker Nancy Pelosi was huddling with Democratic colleagues when she was alerted of the missile attack on Iraqi bases that host U.S. troops.,Washington Examiner,https://www.news.google.com/./articles/CBMiiwFodHRwczovL3d3dy53YXNoaW5ndG9uZXhhbWluZXIuY29tL25ld3MvaWxsLWNhbGwtaGltLWJhY2stcGVsb3NpLXB1dHMtaG91c2UtYnVzaW5lc3MtZmlyc3QtYXMtcGVuY2UtY2FsbHMtYWJvdXQtbWlzc2lsZS1hdHRhY2stb24taXJhcS1iYXNl0gEA?hl=en-PK&gl=PK&ceid=PK%3Aen
